64,100000,"NL-ix: Main"
4,100000,"Equinix Los Angeles"
14,100000,"NYIIX New York"
71,100000,"NIX.CZ: Public peering VLAN"
26,100000,"AMS-IX"
14,100000,"NYIIX New York"
167,100000,"Equinix Tokyo"
299,100000,"NIX.SK"
321,100000,"LINX LON2"
984,100000,"MegaIX Auckland: MegaIX"
1,100000,"Equinix Ashburn"
5,100000,"Equinix San Jose"
64,100000,"NL-ix: Main"
1277,100000,"DE-CIX Madrid: DE-CIX Madrid Peering LAN"
30,100000,"JPIX TOKYO"
4051,100000,"PIT MX"
780,100000,"MegaIX Sydney: MegaIX"
1214,100000,"DE-CIX Dusseldorf: DE-CIX Dusseldorf Peering LAN"
1235,10000,"MegaIX Perth: MegaIX"
64,100000,"NL-ix: Main"
1323,100000,"Extreme IX Delhi: Extreme IX LAN"
779,100000,"MegaIX Melbourne: MegaIX"
250,100000,"MyIX"
264,100000,"Equinix Warsaw"
781,100000,"MegaIX Brisbane: MegaIX"
1178,100000,"MegaIX Ashburn: MegaIX"
42,100000,"HKIX: HKIX Peering LAN"
26,100000,"AMS-IX"
786,100000,"BBIX Osaka"
171,100000,"IX.br (PTT.br) São Paulo: ATM/MPLA"
172,10000,"STHIX - Stockholm: STH Peering"
513,10000,"IX Australia Melbourne (VIC-IX): VIC-IX"
1785,100000,"Extreme IX Hyderabad: Extreme IX LAN"
24,100000,"TorIX"
359,100000,"France-IX Paris"
30,100000,"JPIX TOKYO"
2031,10000,"Equinix Amsterdam: Equinix IX - AM Metro"
18,100000,"LINX LON1: Main"
142,100000,"Any2West"
1627,100000,"Extreme IX Mumbai: Extreme IX"
804,100000,"DE-CIX New York: DE-CIX New York Peering LAN"
429,10000,"SGIX: Peering LAN"
1249,100000,"DE-CIX Dallas: DE-CIX Dallas Peering LAN"
1623,10000,"AMS-IX Mumbai"
31,100000,"DE-CIX Frankfurt: DE-CIX Frankfurt Peering LAN"
1786,100000,"Extreme IX Chennai: Extreme IX LAN"
1323,100000,"Extreme IX Delhi: Extreme IX LAN"
63,100000,"ESpanix Madrid Lower LAN"
1277,100000,"DE-CIX Madrid: DE-CIX Madrid Peering LAN"
52,10000,"KINX"
592,10000,"NAPAfrica IX Johannesburg: Peering"
129,100000,"JINX: JINX Peering"
1180,10000,"MegaIX Dallas"
35,100000,"MIX-IT"
125,100000,"Equinix Hong Kong"
786,100000,"BBIX Osaka"
26,100000,"AMS-IX"
355,100000,"CANIX Montreal"
50,100000,"VIX"
779,10000,"MegaIX Melbourne: MegaIX"
676,100000,"MegaIX Frankfurt"
155,100000,"SFMIX"
948,100000,"Equinix Osaka"
100,10000,"MSK-IX Moscow: MSK-IX peering network"
954,100000,"FL-IX"
863,100000,"VANIX"
3788,20000,"AR-IX Cabase - Argentina"
171,100000,"IX.br (PTT.br) São Paulo: ATM/MPLA"
716,100000,"IX Australia Sydney (NSW-IX): NSW-IX"
866,100000,"SH-IX"
53,100000,"LONAP: LON0"
1514,100000,"PIT Santiago - PIT Chile: LAN"
780,100000,"MegaIX Sydney: MegaIX"
1307,10000,"MegaIX Toronto: MegaIX"
177,100000,"IX.br (PTT.br) Rio de Janeiro: ATM/MPLA"
239,100000,"ChIX"
1178,20000,"MegaIX Ashburn: MegaIX"
1026,10000,"Equinix Melbourne"
14,100000,"NYIIX New York"
171,100000,"IX.br (PTT.br) São Paulo: ATM/MPLA"
5,100000,"Equinix San Jose"
965,10000,"MegaIX Singapore"
1668,100000,"CIX-ATL"
59,100000,"BNIX"
1627,100000,"Extreme IX Mumbai: Extreme IX"
158,100000,"Equinix Singapore"
14,100000,"NYIIX New York"
64,100000,"NL-ix: Main"
204,100000,"Any2East"
1514,100000,"PIT Santiago - PIT Chile: LAN"
2289,100000,"Equinix Bogota: Equinix IX - BG Metro"
155,100000,"SFMIX"
832,100000,"DE-CIX Mumbai: DE-CIX Mumbai Peering LAN"
178,10000,"IX.br (PTT.br) Brasília: ATM/MPLA"
583,100000,"LINX Manchester"
880,100000,"France-IX Marseille"
662,10000,"Ninja-IX Phoenix: Production"
254,100000,"Any2Denver"
60,100000,"SwissIX: Peering"
2680,100000,"PIT - Peru - Lima: Main"
5,20000,"Equinix San Jose"
513,100000,"IX Australia Melbourne (VIC-IX): VIC-IX"
576,100000,"IX Australia Brisbane (QLD-IX): QLD-IX"
1025,10000,"BKNIX (Thailand): Bangkok"
21,10000,"IX Australia Perth (WA-IX): WA-IX"
777,100000,"LINX NoVA"
513,10000,"IX Australia Melbourne (VIC-IX): VIC-IX"
823,100000,"TPIX-TW"
126,100000,"BBIX Tokyo"
1627,100000,"Extreme IX Mumbai: Extreme IX"
2628,10000,"center3 IX Jeddah: Main"
2587,100000,"DE-CIX Delhi: DE-CIX Delhi Peering LAN"
64,100000,"NL-ix: Main"
832,100000,"DE-CIX Mumbai: DE-CIX Mumbai Peering LAN"
597,100000,"NAPAfrica IX Cape Town"
248,100000,"DE-CIX Munich: DE-CIX Munich Peering LAN"
2633,10000,"Equinix Barcelona: Equinix IX - BA Metro"
359,100000,"France-IX Paris"
3446,100000,"DE-CIX Barcelona"
24,100000,"TorIX"
804,100000,"DE-CIX New York: DE-CIX New York Peering LAN"
53,100000,"LONAP: LON0"
3713,100000,"Netnod Helsinki GREEN -- MTU9K"
1086,100000,"MASS-IX: ISP Peering LAN"
17,100000,"Equinix Miami"
3712,100000,"Netnod Helsinki BLUE -- MTU9K"
48,100000,"INEX LAN1: INEX LAN1"
387,10000,"INEX LAN2"
2345,100000,"GetaFIX Manila: Main"
2846,10000,"Netnod Stockholm BLUE -- MTU1500: STH-B -- MTU1500"
2847,10000,"Netnod Stockholm BLUE -- MTU4470: STH-B -- MTU4470"
70,10000,"Netnod Stockholm GREEN -- MTU1500: STH-A -- MTU1500"
2845,10000,"Netnod Stockholm GREEN -- MTU4470: STH-A -- MTU4470"
488,10000,"IXPN Lagos"
171,100000,"IX.br (PTT.br) São Paulo: ATM/MPLA"
63,100000,"ESpanix Madrid Lower LAN"
954,100000,"FL-IX"
95,100000,"JPNAP Tokyo: Peering"
